head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_GEO,top1_freq_GEO,mean_pi_SOCIO,top1_freq_SOCIO,mean_pi_LOWRANK,top1_freq_LOWRANK,mean_beta,beta_std,tau,model
0,0.4636982903907605,GEO,0.06669024378061295,0.0,0.7469958066940308,0.8840439276485789,0.04029178246855736,0.0,0.14602233469486237,0.11595607235142119,0.38646891713142395,0.11117889732122421,0.919540286064148,CA_v4c
1,0.7753211797300587,GEO,0.17700272798538208,0.00032299741602067185,0.5039615035057068,0.8058785529715762,0.12109462916851044,0.0,0.19794157147407532,0.1937984496124031,0.19558142125606537,0.17741240561008453,0.9911275506019592,CA_v4c
2,0.6099301939181944,GEO,0.3112172484397888,0.02260981912144703,0.6188886761665344,0.9770671834625323,0.017649728804826736,0.00032299741602067185,0.0522451177239418,0.0,0.6209713816642761,0.08398500084877014,0.9485966563224792,CA_v4c
3,0.4415274049287578,GEO,0.05235833302140236,0.0,0.7318179607391357,0.8646640826873385,0.1092444509267807,0.07493540051679587,0.10657895356416702,0.06040051679586563,0.2806069254875183,0.1900174617767334,0.8910267949104309,CA_v4c
