model,metric,current,reference,delta,status
B1_HGBR,rmse,0.4432922009906094,0.4432922009906094,0.0,MATCH
G2_ref,rmse,0.4514591739008879,0.4546429759770185,-0.003183802076130615,MATCH
G10_ref,rmse,0.5022915838276582,0.5209055627965608,-0.0186139789689026,DRIFT
