head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_GEO,top1_freq_GEO,mean_pi_SOCIO,top1_freq_SOCIO,mean_pi_LOWRANK,top1_freq_LOWRANK,mean_beta,beta_std,tau,model
0,0.9992456868411511,FULL,0.2587423026561737,0.605,0.25348737835884094,0.285,0.2343260645866394,0.0,0.2534444034099579,0.11,0.446868360042572,0.009414222091436386,0.9963200688362122,CA_v4a
1,0.9949354576452274,SOCIO,0.22015762329101562,0.0,0.2471815049648285,0.0,0.2978533208370209,1.0,0.23480744659900665,0.0,0.49815696477890015,0.008821060881018639,0.995757520198822,CA_v4a
2,0.9983365865486903,LOWRANK,0.2506747245788574,0.035,0.2445671260356903,0.02,0.23220911622047424,0.0,0.272549033164978,0.945,0.471477746963501,0.009187295101583004,0.9970282316207886,CA_v4a
3,0.9963409858594037,SOCIO,0.26516976952552795,0.135,0.2220279723405838,0.0,0.2815455198287964,0.865,0.23125673830509186,0.0,0.4717412292957306,0.007394869811832905,0.9955928921699524,CA_v4a
