head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_GEO,top1_freq_GEO,mean_pi_SOCIO,top1_freq_SOCIO,mean_pi_LOWRANK,top1_freq_LOWRANK,mean_beta,beta_std,tau,model
0,0.9969895324358073,GEO,0.22781938314437866,0.0,0.274201899766922,0.715,0.22732913494110107,0.0,0.27064985036849976,0.285,0.45003315806388855,0.005645933095365763,0.9981738328933716,CA_v4e
1,0.9978945051446474,SOCIO,0.2604645788669586,0.015,0.22323845326900482,0.0,0.27288174629211426,0.985,0.24341508746147156,0.0,0.4557584524154663,0.0041707102209329605,0.9983983635902405,CA_v4e
2,0.9980970147160384,LOWRANK,0.25868120789527893,0.0,0.24509401619434357,0.0,0.223935067653656,0.0,0.2722896635532379,1.0,0.40611863136291504,0.005164130125194788,0.9994853138923645,CA_v4e
3,0.9984781282703503,GEO,0.22482389211654663,0.0,0.2672473192214966,0.905,0.24876204133033752,0.0,0.25916698575019836,0.095,0.4803420603275299,0.0033123185858130455,0.9956361651420593,CA_v4e
