head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA,mean_beta,beta_std,tau,model
0,0.5697756723323716,PCA,0.37025895714759827,0.5006666666666667,0.13768373429775238,0.018666666666666668,0.4920576512813568,0.4806666666666667,0.7721607089042664,0.13750112056732178,1.015543818473816,MN_v4c
1,0.5010987166180833,PCA,0.3158292770385742,0.3893333333333333,0.10604529827833176,0.03933333333333333,0.5781257152557373,0.5713333333333334,0.6866276264190674,0.2010684609413147,1.0010313987731934,MN_v4c
2,0.5981276017213755,PCA,0.2742222845554352,0.37733333333333335,0.10869785398244858,0.006666666666666667,0.6170798540115356,0.616,0.6347706913948059,0.13710668683052063,1.015417456626892,MN_v4c
3,0.5698465829452648,PCA,0.2492832988500595,0.2946666666666667,0.10329228639602661,0.043333333333333335,0.6474249958992004,0.662,0.7307171821594238,0.20342788100242615,1.0187114477157593,MN_v4c
