model,regime,kappa_lo,kappa_hi,n,accuracy
MN_v4d,low,0.20926804678344726,0.4686151146888733,50,0.92
MN_v4d,medium,0.4686151146888733,0.5292127132415771,50,0.8
MN_v4d,high,0.5292127132415771,0.6473905311355591,50,0.6
