head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA,tau,model,mean_beta,beta_std
0,0.998224702770604,FULL,0.3385891318321228,0.6633333333333333,0.32924965023994446,0.122,0.33216091990470886,0.21466666666666667,1.0009136199951172,G2_ref,,
1,0.9936637451703912,PCA,0.32078099250793457,0.0,0.2953296899795532,0.0,0.3838892877101898,1.0,0.9999522566795349,G2_ref,,
2,0.9949171323005047,BLOCK,0.3020183742046356,0.0,0.37822237610816956,0.984,0.31975963711738586,0.016,1.0001901388168335,G2_ref,,
3,0.9889589046739331,PCA,0.30100831389427185,0.0,0.29222968220710754,0.0,0.40676259994506836,1.0,0.9997224807739258,G2_ref,,
0,0.8188873138959176,PCA,0.2635011672973633,0.0,0.24622049927711487,0.3293333333333333,0.4902781844139099,0.6706666666666666,,G10_ref,,
1,0.766355353800711,PCA,0.2332204431295395,0.0,0.2522108852863312,0.35,0.5145690441131592,0.65,,G10_ref,,
2,0.7519388518435756,PCA,0.22666002810001373,0.0,0.24467617273330688,0.34,0.5286639928817749,0.66,,G10_ref,,
3,0.766544539192569,PCA,0.25025129318237305,0.0,0.2616257667541504,0.364,0.48812320828437805,0.636,,G10_ref,,
0,0.7184487513803187,PCA,0.24376145005226135,0.027333333333333334,0.10550282150506973,0.06466666666666666,0.65073561668396,0.908,1.020305871963501,MN_v4a,0.7610929608345032,0.15639162063598633
1,0.8190390636925987,PCA,0.31803128123283386,0.037333333333333336,0.1319202333688736,0.07133333333333333,0.5500483512878418,0.8913333333333333,1.0022529363632202,MN_v4a,0.7491884827613831,0.12301134318113327
2,0.7850799874544002,PCA,0.2257118970155716,0.006666666666666667,0.15100835263729095,0.06533333333333333,0.6232801675796509,0.928,0.9769080281257629,MN_v4a,0.7523336410522461,0.15232625603675842
3,0.9208450020129006,PCA,0.34041082859039307,0.094,0.1902598738670349,0.07866666666666666,0.4693291485309601,0.8273333333333334,1.0023753643035889,MN_v4a,0.795515775680542,0.16915130615234375
0,0.7284597348389543,PCA,0.2247280478477478,0.09133333333333334,0.20080362260341644,0.15066666666666667,0.5744680762290955,0.758,0.9850292801856995,MN_v4b,0.7441316843032837,0.18002499639987946
1,0.6140982776776984,PCA,0.4031881093978882,0.386,0.12768274545669556,0.098,0.4691285490989685,0.516,1.0092436075210571,MN_v4b,0.7689762115478516,0.19606173038482666
2,0.4677270536972486,PCA,0.1030534878373146,0.0,0.15095652639865875,0.11666666666666667,0.7459897994995117,0.8833333333333333,0.9831994771957397,MN_v4b,0.6996402740478516,0.20340438187122345
3,0.6503286094534234,FULL,0.5516088604927063,0.5806666666666667,0.14674422144889832,0.116,0.30164727568626404,0.30333333333333334,0.9818449020385742,MN_v4b,0.7517728805541992,0.17494259774684906
0,0.5697756723323716,PCA,0.37025895714759827,0.5006666666666667,0.13768373429775238,0.018666666666666668,0.4920576512813568,0.4806666666666667,1.015543818473816,MN_v4c,0.7721607089042664,0.13750112056732178
1,0.5010987166180833,PCA,0.3158292770385742,0.3893333333333333,0.10604529827833176,0.03933333333333333,0.5781257152557373,0.5713333333333334,1.0010313987731934,MN_v4c,0.6866276264190674,0.2010684609413147
2,0.5981276017213755,PCA,0.2742222845554352,0.37733333333333335,0.10869785398244858,0.006666666666666667,0.6170798540115356,0.616,1.015417456626892,MN_v4c,0.6347706913948059,0.13710668683052063
3,0.5698465829452648,PCA,0.2492832988500595,0.2946666666666667,0.10329228639602661,0.043333333333333335,0.6474249958992004,0.662,1.0187114477157593,MN_v4c,0.7307171821594238,0.20342788100242615
0,0.1994439792261277,PCA,0.17351119220256805,0.2773333333333333,0.10988286137580872,0.0026666666666666666,0.7166056036949158,0.72,1.0133476257324219,MN_v4d,0.8048010468482971,0.041869357228279114
1,0.18962976322373562,PCA,0.18427088856697083,0.28,0.09873932600021362,0.0006666666666666666,0.7169891595840454,0.7193333333333334,1.013108253479004,MN_v4d,0.8930537104606628,0.1332654058933258
2,0.08014950754672352,PCA,0.26195281744003296,0.2786666666666667,0.016764618456363678,0.0,0.7212832570075989,0.7213333333333334,1.007218360900879,MN_v4d,0.7621458172798157,0.09953796118497849
3,0.16007695148321613,PCA,0.2241062968969345,0.2806666666666667,0.059000883251428604,0.0,0.7168926000595093,0.7193333333333334,0.9993703961372375,MN_v4d,0.7856606245040894,0.1364380419254303
