head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA,mean_beta,beta_std,tau,model
0,0.1994439792261277,PCA,0.17351119220256805,0.2773333333333333,0.10988286137580872,0.0026666666666666666,0.7166056036949158,0.72,0.8048010468482971,0.041869357228279114,1.0133476257324219,MN_v4d
1,0.18962976322373562,PCA,0.18427088856697083,0.28,0.09873932600021362,0.0006666666666666666,0.7169891595840454,0.7193333333333334,0.8930537104606628,0.1332654058933258,1.013108253479004,MN_v4d
2,0.08014950754672352,PCA,0.26195281744003296,0.2786666666666667,0.016764618456363678,0.0,0.7212832570075989,0.7213333333333334,0.7621458172798157,0.09953796118497849,1.007218360900879,MN_v4d
3,0.16007695148321613,PCA,0.2241062968969345,0.2806666666666667,0.059000883251428604,0.0,0.7168926000595093,0.7193333333333334,0.7856606245040894,0.1364380419254303,0.9993703961372375,MN_v4d
