head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA,mean_beta,beta_std,tau,model
0,0.7184487513803187,PCA,0.24376145005226135,0.027333333333333334,0.10550282150506973,0.06466666666666666,0.65073561668396,0.908,0.7610929608345032,0.15639162063598633,1.020305871963501,MN_v4a
1,0.8190390636925987,PCA,0.31803128123283386,0.037333333333333336,0.1319202333688736,0.07133333333333333,0.5500483512878418,0.8913333333333333,0.7491884827613831,0.12301134318113327,1.0022529363632202,MN_v4a
2,0.7850799874544002,PCA,0.2257118970155716,0.006666666666666667,0.15100835263729095,0.06533333333333333,0.6232801675796509,0.928,0.7523336410522461,0.15232625603675842,0.9769080281257629,MN_v4a
3,0.9208450020129006,PCA,0.34041082859039307,0.094,0.1902598738670349,0.07866666666666666,0.4693291485309601,0.8273333333333334,0.795515775680542,0.16915130615234375,1.0023753643035889,MN_v4a
