model,rmse,mae,r2
C8_Routed,0.525010379052882,0.37368452548980713,0.791549801826477
C5_GEO,0.5261110662879688,0.36741703748703003,0.7906748056411743
C7_Learned,0.5478825959852491,0.3793972432613373,0.7729917764663696
C9_RoutedGate,0.6258740750354159,0.35395950078964233,0.7037621736526489
C5_SOCIO,0.7384883852428215,0.4766573905944824,0.5875665545463562
C5_FULL,0.7477642352051038,0.4948517680168152,0.5771406888961792
C5_LOWRANK,0.8141490267935145,0.4905013144016266,0.49872690439224243
