model,split,rmse,mae,r2,best_epoch,duration_seconds,gate_entropy,gate_top1_mass,head_prediction_std
C2a_TabM_mean_heads,train,0.574741048138343,0.40753981471061707,0.7541594505310059,7,12.236,,,0.6594119668006897
C2a_TabM_mean_heads,val,0.6385239829456074,0.43760761618614197,0.6991065740585327,7,12.236,,,0.6744714975357056
C2a_TabM_mean_heads,test,0.5819768944263453,0.4150567650794983,0.7529745101928711,7,12.236,,,0.6612194180488586
C2b_TabM_gated_heads,train,0.5777283931935772,0.40579739212989807,0.7515971660614014,7,12.214,3.3960766792297363,0.05799905210733414,0.7057037353515625
C2b_TabM_gated_heads,val,0.6298455279057137,0.4252362847328186,0.7072300910949707,7,12.214,3.392432689666748,0.05873239040374756,0.7233591675758362
C2b_TabM_gated_heads,test,0.5879256532695528,0.4130570590496063,0.7478986978530884,7,12.214,3.3961236476898193,0.05801109969615936,0.7083674669265747
