model,split,rmse,mae,r2,best_epoch,duration_seconds,gate_entropy,gate_top1_mass,head_prediction_std
C2a_TabM_mean_heads,train,0.38493291248673017,0.26290759444236755,0.8893977403640747,72,406.493,,,1.2201945781707764
C2a_TabM_mean_heads,val,0.48702839145304927,0.31726086139678955,0.817928671836853,72,406.493,,,1.2042385339736938
C2a_TabM_mean_heads,test,0.4577521482924547,0.305839866399765,0.8415372371673584,72,406.493,,,1.2274614572525024
C2b_TabM_gated_heads,train,0.3783772502034538,0.2594616413116455,0.8931329250335693,63,290.524,3.2089130878448486,0.10534064471721649,1.3520874977111816
C2b_TabM_gated_heads,val,0.4889939104678112,0.3192974627017975,0.816456139087677,63,290.524,3.2081472873687744,0.10562579333782196,1.3493154048919678
C2b_TabM_gated_heads,test,0.46135700661922135,0.30709129571914673,0.8390315175056458,63,290.524,3.204056739807129,0.10671038180589676,1.3488709926605225
