rank,model,coverage,n_runs,mean_test_rmse,std_test_rmse,mean_val_rmse,normalized_score
1,P0_crossfit,matched_split_sweep,3,0.37896539462639045,0.0016067126494884265,0.40485983801411135,1.0
2,P0_router,matched_split_sweep,3,0.37904865857458514,0.001591528795700496,0.40328051909428125,0.9983367419654805
3,TabR,single_reference,1,0.382893598092279,,0.4153537352533367,0.9215312735280149
4,P0_full,matched_split_sweep,3,0.3931559473907546,0.0037688963600998357,0.41928998285265573,0.7165333687466511
5,TabPFN_full,matched_split_sweep,3,0.3931559473907546,0.0037688963600998357,0.41928998285265573,0.7165333687466511
6,A6f_artifact,historical_artifact,1,0.4063458370081337,,,0.45305571297617053
7,TabM,single_reference,1,0.4290261467566167,,0.4537707364517,0.0
