family,dataset,config_name,rmse,mae,r2
tabm,california,0-ensemble-5/0,0.4400976921673718,0.2883760631084442,0.8514626776042875
tabm,california,0-ensemble-5/1,0.44020010299438767,0.2887354791164398,0.851393544319629
tabm,california,0-ensemble-5/2,0.4401589214716486,0.2889050543308258,0.8514213558282929
tabm,california,0-evaluation/0,0.4417858517027938,0.29051485657691956,0.850320945767379
tabm,california,0-evaluation/1,0.4424072494662609,0.29062211513519287,0.8498995851937972
tabm,california,0-evaluation/10,0.44188215544004594,0.29238206148147583,0.8502556866460412
tabm,california,0-evaluation/11,0.44103441358875156,0.2897849678993225,0.8508296934521482
tabm,california,0-evaluation/12,0.44175628691529684,0.2896932065486908,0.850340980593203
tabm,california,0-evaluation/13,0.44282740132437703,0.28939175605773926,0.8496143457347649
tabm,california,0-evaluation/14,0.4402202607323423,0.2886638343334198,0.8513799222789612
tabm,california,0-evaluation/2,0.4382128527849153,0.28647103905677795,0.8527322604031958
tabm,california,0-evaluation/3,0.4414783857699095,0.2895134687423706,0.8505292251023248
tabm,california,0-evaluation/4,0.442347224069291,0.28957247734069824,0.8499403131589596
tabm,california,0-evaluation/5,0.4407061197807699,0.2889554798603058,0.851051697450208
tabm,california,0-evaluation/6,0.44278683433912364,0.29040664434432983,0.8496419048511668
tabm,california,0-evaluation/7,0.44009456022112553,0.28856638073921204,0.8514647864402863
tabm,california,0-evaluation/8,0.4420870703965604,0.290366530418396,0.850116769145016
tabm,california,0-evaluation/9,0.44125319671553553,0.28966695070266724,0.8506816676976385
