model,accuracy,macro_f1,log_loss,bin,n_rows
M5_FULL,0.9281437125748503,0.8930821568409154,,low,501
M5_FULL,0.9308943089430894,0.9209507044961386,,medium,492
M5_FULL,0.9428007889546351,0.947461329220415,,high,507
M5_BLOCK,0.9341317365269461,0.9004802082665397,,low,501
M5_BLOCK,0.9207317073170732,0.9163754940325234,,medium,492
M5_BLOCK,0.9250493096646942,0.8797002075787242,,high,507
M5_PCA,0.936127744510978,0.9023891614323709,,low,501
M5_PCA,0.9369918699186992,0.9317700799058679,,medium,492
M5_PCA,0.9526627218934911,0.920651273169718,,high,507
