model,rmse,mae,r2,best_epoch,stop_epoch,collapsed
B1_HGBR,0.4430055320262909,0.3016717731952667,0.8515825948709249,—,—,
A0_ref,0.47384098172187805,0.3225993514060974,0.8302023048570493,145,149,False
A1_head_gated,0.4940263330936432,0.3435647785663605,0.8154276126588244,127,149,False
B0_probe_a0,0.4829890727996826,0.32518357038497925,0.8235826926733913,—,—,
B1_probe,0.48810502886772156,0.33521032333374023,0.8198255747907985,—,—,
E1_orth,0.5008277297019958,0.3492307960987091,0.8103105196323566,141,149,False
E2_orth_init,0.49379006028175354,0.34423336386680603,0.8156041042423015,132,149,False
E3_orth_pdiv,0.7062844038009644,0.5298472046852112,0.6227530122700534,4,34,False
