model,mean_beta,mean_pi_FULL,mean_pi_GEO,mean_pi_SOCIO,mean_pi_LOWRANK,mean_gate_h0,mean_gate_h1,mean_gate_h2,mean_gate_h3,gate_entropy
A0_ref,0.4148830771446228,0.48019132018089294,0.2771163284778595,0.11573583632707596,0.1269565224647522,,,,,
A1_head_gated,0.4771423041820526,0.33392879366874695,0.33528196811676025,0.2101234346628189,0.1206657811999321,0.2782159447669983,0.24921607971191406,0.17455995082855225,0.2980080246925354,1.3581947088241577
C1_per_view_obs,0.4556247293949127,0.5422414541244507,0.23439286649227142,0.14466813206672668,0.07869753241539001,0.3052016496658325,0.2889752984046936,0.13637574017047882,0.26944729685783386,1.3130269050598145
C2_jaccard_beta,0.44064608216285706,0.4603165090084076,0.27522578835487366,0.1879700869321823,0.07648764550685883,0.2095271497964859,0.2240729182958603,0.19831278920173645,0.36808717250823975,1.3343663215637207
C3_sigma2,0.4135916531085968,0.3848660886287689,0.3406031131744385,0.14907895028591156,0.12545183300971985,0.19473198056221008,0.2548237144947052,0.34885886311531067,0.20158544182777405,1.340245246887207
D1_adaptive_tau,0.44543126225471497,0.5513677000999451,0.14974448084831238,0.21844127774238586,0.08044657111167908,0.1588549017906189,0.43553465604782104,0.2343161404132843,0.17129430174827576,1.2804880142211914
D2_pdiv_lb,0.4319077134132385,0.3089047372341156,0.17630085349082947,0.36655285954475403,0.1482415348291397,0.12502382695674896,0.5673804879188538,0.17794904112815857,0.1296466439962387,1.1483482122421265
