family,dataset,config_name,rmse,mae,r2
tabr,california,0-ensemble-5/0,0.39790451615303024,0.24950638857284524,0.8785786193404284
tabr,california,0-ensemble-5/1,0.3954675014346702,0.24629647457182813,0.8800613844685894
tabr,california,0-ensemble-5/2,0.39581086568320223,0.24712721602529086,0.8798530178293504
tabr,california,0-evaluation/0,0.40711935343331995,0.25423846386472704,0.8728896473803667
tabr,california,0-evaluation/1,0.4044289174823292,0.2587717602768915,0.8745641070834553
tabr,california,0-evaluation/10,0.4018156827250939,0.25482817684710746,0.876179883070032
tabr,california,0-evaluation/11,0.40146508046375345,0.25325371806779096,0.8763958788044439
tabr,california,0-evaluation/12,0.4042885918728646,0.2522933224242081,0.8746511403971328
tabr,california,0-evaluation/13,0.4007451759202691,0.2506193012636029,0.8768387626628644
tabr,california,0-evaluation/14,0.403521387807885,0.25688279021285787,0.8751264209964313
tabr,california,0-evaluation/2,0.40384301943087003,0.25341157900515476,0.8749272841469966
tabr,california,0-evaluation/3,0.4064750457388286,0.2595363516333542,0.8732916687314884
tabr,california,0-evaluation/4,0.4015693823541959,0.2551547767377862,0.8763316388481672
tabr,california,0-evaluation/5,0.400392809144501,0.2532792096345826,0.8770552607509695
tabr,california,0-evaluation/6,0.4037904198892378,0.2515764974907295,0.874959866691225
tabr,california,0-evaluation/7,0.3998987431655319,0.2517083480370115,0.877358485976127
tabr,california,0-evaluation/8,0.4051689784387774,0.25692915581025844,0.8741046197575125
tabr,california,0-evaluation/9,0.40056122073353106,0.2491401678005385,0.8769518049078209
tabr,california,2-lr-ensemble-5/0,0.3940436077875293,0.24561468757208083,0.8809235179329882
tabr,california,2-lr-ensemble-5/1,0.39706365432715657,0.24619782878011875,0.8790912656625453
tabr,california,2-lr-ensemble-5/2,0.3977788559285421,0.24630084999000879,0.8786553009278343
tabr,california,2-lr-evaluation/0,0.3989457809998053,0.24741061514673923,0.8779422993429999
tabr,california,2-lr-evaluation/1,0.39855819699861156,0.24991323328707438,0.8781793542954002
tabr,california,2-lr-evaluation/10,0.4046261447817296,0.2503653713618377,0.8744417303392701
tabr,california,2-lr-evaluation/11,0.40512566719590914,0.2504662653921379,0.8741315340493911
tabr,california,2-lr-evaluation/12,0.40265306373081766,0.24929740614875406,0.8756632675174271
tabr,california,2-lr-evaluation/13,0.4025296463104274,0.25211761393126153,0.8757394860315708
tabr,california,2-lr-evaluation/14,0.4048942816991327,0.251443176942292,0.8742752660690649
tabr,california,2-lr-evaluation/2,0.3990445295336525,0.25055161198787523,0.8778818725802477
tabr,california,2-lr-evaluation/3,0.4002253798463067,0.2511148130490266,0.8771580544016294
tabr,california,2-lr-evaluation/4,0.40486754912212475,0.2534692030896526,0.8742918655851862
tabr,california,2-lr-evaluation/5,0.40050970615878545,0.24866513228043452,0.8769834537912694
tabr,california,2-lr-evaluation/6,0.40434242965154943,0.2518773118141855,0.8746177607687676
tabr,california,2-lr-evaluation/7,0.4033779600357417,0.25021543114197087,0.8752151770717198
tabr,california,2-lr-evaluation/8,0.40426490991569386,0.25787172119240154,0.8746658232462898
tabr,california,2-lr-evaluation/9,0.4046946556644709,0.24906613157432744,0.8743992076147765
tabr,california,2-plr-lite-ensemble-5/0,0.3901915508493373,0.24306291947732106,0.8832402530357877
tabr,california,2-plr-lite-ensemble-5/1,0.39037314288147773,0.2402556995962115,0.8831315473549972
tabr,california,2-plr-lite-ensemble-5/2,0.39367097997322137,0.241040922865281,0.8811486198083652
tabr,california,2-plr-lite-evaluation/0,0.4002716784134621,0.2512467154777376,0.8771296339585459
tabr,california,2-plr-lite-evaluation/1,0.4031493303453533,0.2474129325619021,0.8753565959351125
tabr,california,2-plr-lite-evaluation/10,0.39665053753301366,0.24663511118603942,0.8793427285826483
tabr,california,2-plr-lite-evaluation/11,0.4028028413112991,0.24721820051164833,0.8755707478954091
tabr,california,2-plr-lite-evaluation/12,0.400155827903458,0.24997078819500018,0.8772007471042358
tabr,california,2-plr-lite-evaluation/13,0.4048867590800747,0.24771395441507416,0.8742799483038899
tabr,california,2-plr-lite-evaluation/14,0.40370328565782077,0.24674676217328972,0.8750138226974188
tabr,california,2-plr-lite-evaluation/2,0.39967376037617197,0.2508846625938954,0.8774964494775709
tabr,california,2-plr-lite-evaluation/3,0.3971534708329315,0.24834501769338324,0.8790365584715435
tabr,california,2-plr-lite-evaluation/4,0.394243624976412,0.24886688575274896,0.880802598846198
tabr,california,2-plr-lite-evaluation/5,0.39591759502172097,0.24284535915829863,0.8797882090993683
tabr,california,2-plr-lite-evaluation/6,0.39915220448780325,0.25475842956836203,0.8778159532689433
tabr,california,2-plr-lite-evaluation/7,0.3964186734522074,0.24579738289880204,0.879483737107033
tabr,california,2-plr-lite-evaluation/8,0.403969898657075,0.24975813941259162,0.8748486777199995
tabr,california,2-plr-lite-evaluation/9,0.3987168625534284,0.24355594090615185,0.8780823426275159
tabr,california,default-ensemble-5/0,0.39920771539464484,0.248824791808671,0.87778197403703
tabr,california,default-ensemble-5/1,0.3979229903964745,0.24872874013841262,0.8785673541657335
tabr,california,default-ensemble-5/2,0.3978309007001104,0.24847799235896062,0.8786235503812582
tabr,california,default-evaluation/0,0.41060341538200334,0.26491306610580523,0.8707047609859281
tabr,california,default-evaluation/1,0.4042862212572453,0.25114424768042376,0.8746526006255237
tabr,california,default-evaluation/10,0.4028268085283934,0.2529420776108129,0.8755559422492843
tabr,california,default-evaluation/11,0.4061699282194458,0.255193878795124,0.8734818169824667
tabr,california,default-evaluation/12,0.4060499400773938,0.25411707627496405,0.8735565483089969
tabr,california,default-evaluation/13,0.4052703584327811,0.25724513709713115,0.8740416087118724
