head_idx,entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA
0,1.0370198488235474,PCA,0.20796504616737366,0.0013333333333333333,0.30058553814888,0.3586666666666667,0.49144914746284485,0.64
1,1.0010874271392822,PCA,0.18483272194862366,0.008666666666666666,0.27699634432792664,0.332,0.5381711721420288,0.6593333333333333
2,1.0977176427841187,PCA,0.3153083622455597,0.21266666666666667,0.3350195586681366,0.384,0.3496720790863037,0.4033333333333333
3,1.0383641719818115,PCA,0.21344786882400513,0.021333333333333333,0.29402410984039307,0.35533333333333333,0.4925280213356018,0.6233333333333333
