head_idx,entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA
0,1.0784237384796143,PCA,0.2646423876285553,0.0,0.3098151981830597,0.008666666666666666,0.4255426526069641,0.9913333333333333
1,1.0917236804962158,BLOCK,0.2909024655818939,0.0,0.38571423292160034,1.0,0.3233834207057953,0.0
2,1.0894936323165894,PCA,0.2724406123161316,0.0,0.35052019357681274,0.0,0.3770393431186676,1.0
3,1.0872257947921753,PCA,0.2966591715812683,0.0,0.2977508008480072,0.0,0.40559008717536926,1.0
