model,rmse,mae,r2
B1_HGBR,0.4432922009906094,0.3006575107574463,0.8513904809951782
B2_TabPFN,,,
G2_GoRA_v1,0.4546429759770185,0.3148115575313568,0.8436825275421143
G7_RichCtx,0.4928804696379642,0.34401148557662964,0.8162828087806702
G8_LabelCtx,0.5169086372934273,0.36838242411613464,0.7979335784912109
G9_Teacher,0.5098644467734865,0.35958626866340637,0.803403377532959
G10_Full,0.5208355013484337,0.3660057783126831,0.7948517799377441
