head_idx,entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA
0,1.0518449544906616,PCA,0.2342042475938797,0.23933333333333334,0.2889845669269562,0.332,0.47681164741516113,0.42866666666666664
1,1.0651366710662842,PCA,0.28723347187042236,0.30533333333333335,0.25615590810775757,0.29333333333333333,0.4566113352775574,0.4013333333333333
2,1.0749300718307495,PCA,0.2598344683647156,0.25466666666666665,0.306445837020874,0.3626666666666667,0.4337199032306671,0.38266666666666665
3,1.0711677074432373,PCA,0.2700060307979584,0.28,0.2840762138366699,0.324,0.4459180235862732,0.396
