head_idx,entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_BLOCK,top1_freq_BLOCK,mean_pi_PCA,top1_freq_PCA
0,1.060863971710205,PCA,0.3012573719024658,0.008666666666666666,0.23912063241004944,0.282,0.45962199568748474,0.7093333333333334
1,1.0268712043762207,PCA,0.23805703222751617,0.012666666666666666,0.24435698986053467,0.27466666666666667,0.5175861716270447,0.7126666666666667
2,1.027031421661377,PCA,0.25632256269454956,0.05333333333333334,0.22738632559776306,0.25333333333333335,0.5162918567657471,0.6933333333333334
3,0.9771832227706909,PCA,0.19245626032352448,0.0006666666666666666,0.23548264801502228,0.2653333333333333,0.5720614194869995,0.734
